id_venta,fecha,cliente_id,sucursal,metodo_pago,producto,categoria,cantidad,precio_unitario,total
23,2025-07-01,C0039,Del Valle,Tarjeta,Detergente,Limpieza,2,54.18,108.36
23,2025-07-01,C0039,Del Valle,Tarjeta,Detergente,Limpieza,3,55.75,167.25
24,2025-07-02,C0026,Norte,Tarjeta,Pan de dulce,Panadería,1,9.96,9.96
24,2025-07-02,C0026,Norte,Tarjeta,Detergente,Limpieza,1,54.96,54.96
24,2025-07-02,C0026,Norte,Tarjeta,Detergente,Limpieza,1,57.64,57.64
24,2025-07-02,C0026,Norte,Tarjeta,Detergente,Limpieza,2,54.16,108.32
25,2025-07-02,C0061,Centro,Efectivo,Detergente,Limpieza,3,55.47,166.41
26,2025-07-02,C0010,Norte,Efectivo,Detergente,Limpieza,1,54.86,54.86
27,2025-07-02,C0210,Norte,Efectivo,Pan de dulce,Panadería,2,9.96,19.92
27,2025-07-02,C0210,Norte,Efectivo,Pan de dulce,Panadería,1,10.39,10.39
27,2025-07-02,C0210,Norte,Efectivo,Pan de dulce,Panadería,1,10.0,10.0
27,2025-07-02,C0210,Norte,Efectivo,Agua 1L,Bebidas,2,11.79,23.58
27,2025-07-02,C0210,Norte,Efectivo,Chicharrón,Botanas,1,20.6,20.6
28,2025-07-02,C0084,Norte,Efectivo,Refresco 600ml,Bebidas,2,14.05,28.1
28,2025-07-02,C0084,Norte,Efectivo,Detergente,Limpieza,3,53.55,160.65
28,2025-07-02,C0084,Norte,Efectivo,Agua 1L,Bebidas,2,12.04,24.08
28,2025-07-02,C0084,Norte,Efectivo,Detergente,Limpieza,2,56.36,112.72
28,2025-07-02,C0084,Norte,Efectivo,Papel higiénico (4u),Limpieza,3,33.77,101.31
29,2025-07-02,C0095,Del Valle,Efectivo,Chicharrón,Botanas,1,19.54,19.54
29,2025-07-02,C0095,Del Valle,Efectivo,Detergente,Limpieza,3,53.25,159.75
29,2025-07-02,C0095,Del Valle,Efectivo,Detergente,Limpieza,3,54.02,162.06
29,2025-07-02,C0095,Del Valle,Efectivo,Pan de dulce,Panadería,2,9.59,19.18
30,2025-07-02,C0009,Del Valle,Tarjeta,Aceite 1L,Abarrotes,3,38.9,116.7
30,2025-07-02,C0009,Del Valle,Tarjeta,Detergente,Limpieza,1,56.35,56.35
30,2025-07-02,C0009,Del Valle,Tarjeta,Detergente,Limpieza,2,55.35,110.7
30,2025-07-02,C0009,Del Valle,Tarjeta,Detergente,Limpieza,2,53.81,107.62
31,2025-07-02,C0180,Norte,Efectivo,Papel higiénico (4u),Limpieza,2,33.61,67.22
31,2025-07-02,C0180,Norte,Efectivo,Detergente,Limpieza,2,54.26,108.52
31,2025-07-02,C0180,Norte,Efectivo,Pan de dulce,Panadería,2,9.69,19.38
32,2025-07-02,C0139,Centro,Tarjeta,Detergente,Limpieza,2,52.87,105.74
32,2025-07-02,C0139,Centro,Tarjeta,Detergente,Limpieza,3,55.42,166.26
32,2025-07-02,C0139,Centro,Tarjeta,Papel higiénico (4u),Limpieza,2,36.28,72.56
33,2025-07-02,C0211,Centro,Tarjeta,Detergente,Limpieza,2,55.19,110.38
34,2025-07-02,C0021,Norte,Efectivo,Detergente,Limpieza,2,55.61,111.22
34,2025-07-02,C0021,Norte,Efectivo,Detergente,Limpieza,3,55.45,166.35
34,2025-07-02,C0021,Norte,Efectivo,Pan de dulce,Panadería,1,10.43,10.43
34,2025-07-02,C0021,Norte,Efectivo,Chicharrón,Botanas,1,20.07,20.07
35,2025-07-02,C0028,Centro,Efectivo,Papel higiénico (4u),Limpieza,1,36.08,36.08
35,2025-07-02,C0028,Centro,Efectivo,Queso 250g,Lácteos,1,43.37,43.37
36,2025-07-02,C0117,Norte,Efectivo,Aceite 1L,Abarrotes,2,39.77,79.54
36,2025-07-02,C0117,Norte,Efectivo,Papel higiénico (4u),Limpieza,3,36.52,109.56
36,2025-07-02,C0117,Norte,Efectivo,Detergente,Limpieza,3,57.41,172.23
37,2025-07-02,C0005,Norte,Tarjeta,Chicharrón,Botanas,3,20.63,61.89
37,2025-07-02,C0005,Norte,Tarjeta,Detergente,Limpieza,2,55.74,111.48
37,2025-07-02,C0005,Norte,Tarjeta,Pan de dulce,Panadería,1,9.86,9.86
37,2025-07-02,C0005,Norte,Tarjeta,Pan de dulce,Panadería,2,10.09,20.18
37,2025-07-02,C0005,Norte,Tarjeta,Pan de dulce,Panadería,3,10.32,30.96
38,2025-07-02,C0095,Del Valle,Tarjeta,Detergente,Limpieza,1,55.01,55.01
39,2025-07-02,C0027,Centro,Efectivo,Detergente,Limpieza,3,54.09,162.27
39,2025-07-02,C0027,Centro,Efectivo,Detergente,Limpieza,1,57.08,57.08
39,2025-07-02,C0027,Centro,Efectivo,Chicharrón,Botanas,3,20.07,60.21
39,2025-07-02,C0027,Centro,Efectivo,Papel higiénico (4u),Limpieza,1,35.26,35.26
39,2025-07-02,C0027,Centro,Efectivo,Detergente,Limpieza,1,53.08,53.08
40,2025-07-02,C0094,Norte,Efectivo,Detergente,Limpieza,3,56.77,170.31
40,2025-07-02,C0094,Norte,Efectivo,Detergente,Limpieza,1,54.33,54.33
40,2025-07-02,C0094,Norte,Efectivo,Detergente,Limpieza,3,52.95,158.85
40,2025-07-02,C0094,Norte,Efectivo,Huevo (docena),Abarrotes,1,32.95,32.95
41,2025-07-02,C0036,Centro,Tarjeta,Detergente,Limpieza,1,53.63,53.63
41,2025-07-02,C0036,Centro,Tarjeta,Detergente,Limpieza,2,56.8,113.6
41,2025-07-02,C0036,Centro,Tarjeta,Detergente,Limpieza,2,57.25,114.5
42,2025-07-02,C0017,Centro,Efectivo,Pan de dulce,Panadería,3,10.11,30.33
42,2025-07-02,C0017,Centro,Efectivo,Detergente,Limpieza,3,56.24,168.72
42,2025-07-02,C0017,Centro,Efectivo,Detergente,Limpieza,1,57.38,57.38
43,2025-07-03,C0011,Norte,Tarjeta,Detergente,Limpieza,2,54.73,109.46
43,2025-07-03,C0011,Norte,Tarjeta,Papel higiénico (4u),Limpieza,2,34.08,68.16
43,2025-07-03,C0011,Norte,Tarjeta,Papel higiénico (4u),Limpieza,2,36.19,72.38
44,2025-07-03,C0152,Centro,Efectivo,Detergente,Limpieza,1,54.09,54.09
44,2025-07-03,C0152,Centro,Efectivo,Detergente,Limpieza,1,52.28,52.28
44,2025-07-03,C0152,Centro,Efectivo,Agua 1L,Bebidas,1,11.54,11.54
45,2025-07-03,C0164,Del Valle,Efectivo,Detergente,Limpieza,3,54.74,164.22
45,2025-07-03,C0164,Del Valle,Efectivo,Detergente,Limpieza,1,53.62,53.62
45,2025-07-03,C0164,Del Valle,Efectivo,Pan de dulce,Panadería,2,10.0,20.0
46,2025-07-03,C0003,Centro,Tarjeta,Detergente,Limpieza,1,53.23,53.23
46,2025-07-03,C0003,Centro,Tarjeta,Refresco 600ml,Bebidas,2,13.51,27.02
46,2025-07-03,C0003,Centro,Tarjeta,Detergente,Limpieza,3,56.98,170.94
47,2025-07-03,C0219,Norte,Tarjeta,Detergente,Limpieza,1,55.69,55.69
47,2025-07-03,C0219,Norte,Tarjeta,Detergente,Limpieza,3,54.85,164.55
47,2025-07-03,C0219,Norte,Tarjeta,Detergente,Limpieza,2,52.61,105.22
47,2025-07-03,C0219,Norte,Tarjeta,Aceite 1L,Abarrotes,2,38.81,77.62
47,2025-07-03,C0219,Norte,Tarjeta,Detergente,Limpieza,1,55.13,55.13
48,2025-07-03,C0030,Norte,Efectivo,Queso 250g,Lácteos,3,43.09,129.27
49,2025-07-03,C0028,Centro,Tarjeta,Detergente,Limpieza,1,54.49,54.49
49,2025-07-03,C0028,Centro,Tarjeta,Papel higiénico (4u),Limpieza,3,34.03,102.09
49,2025-07-03,C0028,Centro,Tarjeta,Detergente,Limpieza,1,55.95,55.95
49,2025-07-03,C0028,Centro,Tarjeta,Detergente,Limpieza,1,55.52,55.52
50,2025-07-03,C0137,Centro,Tarjeta,Detergente,Limpieza,2,55.57,111.14
50,2025-07-03,C0137,Centro,Tarjeta,Papel higiénico (4u),Limpieza,1,36.16,36.16
51,2025-07-03,C0010,Centro,Efectivo,Refresco 600ml,Bebidas,3,13.59,40.77
51,2025-07-03,C0010,Centro,Efectivo,Agua 1L,Bebidas,3,11.55,34.65
52,2025-07-03,C0043,Centro,Tarjeta,Huevo (docena),Abarrotes,2,32.4,64.8
52,2025-07-03,C0043,Centro,Tarjeta,Pan de dulce,Panadería,1,10.27,10.27
52,2025-07-03,C0043,Centro,Tarjeta,Detergente,Limpieza,3,54.65,163.95
52,2025-07-03,C0043,Centro,Tarjeta,Detergente,Limpieza,2,57.47,114.94
52,2025-07-03,C0043,Centro,Tarjeta,Pan de dulce,Panadería,1,10.28,10.28
53,2025-07-03,C0166,Centro,Tarjeta,Detergente,Limpieza,1,55.07,55.07
54,2025-07-03,C0041,Norte,Efectivo,Detergente,Limpieza,1,56.05,56.05
54,2025-07-03,C0041,Norte,Efectivo,Chicharrón,Botanas,2,19.04,38.08
54,2025-07-03,C0041,Norte,Efectivo,Detergente,Limpieza,2,55.16,110.32
55,2025-07-03,C0043,Centro,Tarjeta,Detergente,Limpieza,1,56.21,56.21
56,2025-07-03,C0001,Centro,Transferencia,Detergente,Limpieza,1,53.21,53.21
56,2025-07-03,C0001,Centro,Transferencia,Detergente,Limpieza,1,56.86,56.86
56,2025-07-03,C0001,Centro,Transferencia,Detergente,Limpieza,2,54.36,108.72
57,2025-07-03,C0031,Centro,Transferencia,Agua 1L,Bebidas,2,12.12,24.24
58,2025-07-03,C0005,Del Valle,Efectivo,Detergente,Limpieza,2,55.9,111.8
58,2025-07-03,C0005,Del Valle,Efectivo,Pan de dulce,Panadería,1,9.64,9.64
58,2025-07-03,C0005,Del Valle,Efectivo,Detergente,Limpieza,3,53.73,161.19
58,2025-07-03,C0005,Del Valle,Efectivo,Detergente,Limpieza,3,53.69,161.07
59,2025-07-03,C0153,Del Valle,Transferencia,Queso 250g,Lácteos,1,43.09,43.09
59,2025-07-03,C0153,Del Valle,Transferencia,Detergente,Limpieza,1,54.52,54.52
59,2025-07-03,C0153,Del Valle,Transferencia,Chicharrón,Botanas,2,20.38,40.76
60,2025-07-03,C0035,Centro,Efectivo,Detergente,Limpieza,3,52.75,158.25
60,2025-07-03,C0035,Centro,Efectivo,Pan de dulce,Panadería,1,10.46,10.46
60,2025-07-03,C0035,Centro,Efectivo,Detergente,Limpieza,3,57.48,172.44
60,2025-07-03,C0035,Centro,Efectivo,Aceite 1L,Abarrotes,2,38.08,76.16
61,2025-07-03,C0203,Norte,Tarjeta,Detergente,Limpieza,2,56.06,112.12
62,2025-07-03,C0213,Del Valle,Tarjeta,Papel higiénico (4u),Limpieza,3,35.72,107.16
62,2025-07-03,C0213,Del Valle,Tarjeta,Papel higiénico (4u),Limpieza,2,36.75,73.5
62,2025-07-03,C0213,Del Valle,Tarjeta,Agua 1L,Bebidas,2,12.08,24.16
63,2025-07-03,C0024,Centro,Tarjeta,Papel higiénico (4u),Limpieza,2,34.91,69.82
63,2025-07-03,C0024,Centro,Tarjeta,Papel higiénico (4u),Limpieza,3,33.44,100.32
63,2025-07-03,C0024,Centro,Tarjeta,Papel higiénico (4u),Limpieza,2,34.37,68.74
64,2025-07-03,C0067,Norte,Efectivo,Chicharrón,Botanas,3,20.45,61.35
64,2025-07-03,C0067,Norte,Efectivo,Agua 1L,Bebidas,1,11.78,11.78
64,2025-07-03,C0067,Norte,Efectivo,Detergente,Limpieza,2,55.21,110.42
64,2025-07-03,C0067,Norte,Efectivo,Huevo (docena),Abarrotes,2,31.42,62.84
65,2025-07-04,C0170,Centro,Efectivo,Agua 1L,Bebidas,3,12.03,36.09
65,2025-07-04,C0170,Centro,Efectivo,Detergente,Limpieza,2,52.64,105.28
66,2025-07-04,C0026,Norte,Efectivo,Detergente,Limpieza,1,54.1,54.1
66,2025-07-04,C0026,Norte,Efectivo,Detergente,Limpieza,1,56.28,56.28
66,2025-07-04,C0026,Norte,Efectivo,Pan de dulce,Panadería,2,9.61,19.22
66,2025-07-04,C0026,Norte,Efectivo,Detergente,Limpieza,2,53.88,107.76
66,2025-07-04,C0026,Norte,Efectivo,Agua 1L,Bebidas,2,11.76,23.52
67,2025-07-04,C0044,Centro,Transferencia,Chicharrón,Botanas,3,19.78,59.34
68,2025-07-04,C0201,Norte,Efectivo,Detergente,Limpieza,1,52.61,52.61
68,2025-07-04,C0201,Norte,Efectivo,Papel higiénico (4u),Limpieza,1,35.52,35.52
68,2025-07-04,C0201,Norte,Efectivo,Detergente,Limpieza,2,56.82,113.64
69,2025-07-04,C0017,Centro,Efectivo,Papel higiénico (4u),Limpieza,1,36.14,36.14
70,2025-07-04,C0005,Del Valle,Tarjeta,Detergente,Limpieza,2,55.08,110.16
70,2025-07-04,C0005,Del Valle,Tarjeta,Detergente,Limpieza,3,56.08,168.24
70,2025-07-04,C0005,Del Valle,Tarjeta,Pan de dulce,Panadería,2,10.32,20.64
71,2025-07-04,C0057,Norte,Efectivo,Detergente,Limpieza,1,52.96,52.96
71,2025-07-04,C0057,Norte,Efectivo,Agua 1L,Bebidas,2,11.45,22.9
71,2025-07-04,C0057,Norte,Efectivo,Detergente,Limpieza,1,56.99,56.99
71,2025-07-04,C0057,Norte,Efectivo,Pan de dulce,Panadería,1,9.83,9.83
72,2025-07-04,C0041,Centro,Efectivo,Detergente,Limpieza,1,53.46,53.46
72,2025-07-04,C0041,Centro,Efectivo,Detergente,Limpieza,1,57.17,57.17
72,2025-07-04,C0041,Centro,Efectivo,Agua 1L,Bebidas,1,12.42,12.42
73,2025-07-04,C0036,Norte,Tarjeta,Detergente,Limpieza,3,56.29,168.87
73,2025-07-04,C0036,Norte,Tarjeta,Detergente,Limpieza,1,57.02,57.02
74,2025-07-04,C0011,Centro,Efectivo,Detergente,Limpieza,2,57.09,114.18
74,2025-07-04,C0011,Centro,Efectivo,Detergente,Limpieza,3,54.81,164.43
74,2025-07-04,C0011,Centro,Efectivo,Detergente,Limpieza,2,56.79,113.58
74,2025-07-04,C0011,Centro,Efectivo,Detergente,Limpieza,1,56.76,56.76
74,2025-07-04,C0011,Centro,Efectivo,Pan de dulce,Panadería,3,10.24,30.72
75,2025-07-04,C0001,Norte,Tarjeta,Refresco 600ml,Bebidas,3,14.18,42.54
75,2025-07-04,C0001,Norte,Tarjeta,Pan de dulce,Panadería,1,9.88,9.88
75,2025-07-04,C0001,Norte,Tarjeta,Detergente,Limpieza,2,56.54,113.08
75,2025-07-04,C0001,Norte,Tarjeta,Papel higiénico (4u),Limpieza,3,34.24,102.72
76,2025-07-04,C0041,Del Valle,Efectivo,Pan de dulce,Panadería,3,10.27,30.81
76,2025-07-04,C0041,Del Valle,Efectivo,Detergente,Limpieza,2,53.17,106.34
76,2025-07-04,C0041,Del Valle,Efectivo,Detergente,Limpieza,2,56.15,112.3
76,2025-07-04,C0041,Del Valle,Efectivo,Pan de dulce,Panadería,2,9.85,19.7
77,2025-07-04,C0006,Del Valle,Transferencia,Detergente,Limpieza,3,56.77,170.31
77,2025-07-04,C0006,Del Valle,Transferencia,Detergente,Limpieza,3,54.94,164.82
77,2025-07-04,C0006,Del Valle,Transferencia,Detergente,Limpieza,3,53.64,160.92
77,2025-07-04,C0006,Del Valle,Transferencia,Detergente,Limpieza,2,54.7,109.4
77,2025-07-04,C0006,Del Valle,Transferencia,Agua 1L,Bebidas,1,11.96,11.96
78,2025-07-04,C0007,Del Valle,Efectivo,Detergente,Limpieza,1,53.75,53.75
78,2025-07-04,C0007,Del Valle,Efectivo,Pan de dulce,Panadería,1,10.46,10.46
78,2025-07-04,C0007,Del Valle,Efectivo,Agua 1L,Bebidas,1,12.53,12.53
78,2025-07-04,C0007,Del Valle,Efectivo,Detergente,Limpieza,2,55.76,111.52
78,2025-07-04,C0007,Del Valle,Efectivo,Detergente,Limpieza,1,56.43,56.43
79,2025-07-04,C0215,Centro,Tarjeta,Pan de dulce,Panadería,2,10.15,20.3
79,2025-07-04,C0215,Centro,Tarjeta,Agua 1L,Bebidas,3,12.44,37.32
80,2025-07-04,C0207,Centro,Tarjeta,Pan de dulce,Panadería,2,9.79,19.58
80,2025-07-04,C0207,Centro,Tarjeta,Detergente,Limpieza,2,55.64,111.28
80,2025-07-04,C0207,Centro,Tarjeta,Detergente,Limpieza,2,54.79,109.58
80,2025-07-04,C0207,Centro,Tarjeta,Agua 1L,Bebidas,1,11.54,11.54
80,2025-07-04,C0207,Centro,Tarjeta,Detergente,Limpieza,1,55.59,55.59
81,2025-07-04,C0015,Centro,Efectivo,Pan de dulce,Panadería,2,9.57,19.14
81,2025-07-04,C0015,Centro,Efectivo,Detergente,Limpieza,3,54.89,164.67
81,2025-07-04,C0015,Centro,Efectivo,Leche 1L,Lácteos,3,24.53,73.59
81,2025-07-04,C0015,Centro,Efectivo,Detergente,Limpieza,1,56.07,56.07
81,2025-07-04,C0015,Centro,Efectivo,Refresco 600ml,Bebidas,1,14.63,14.63
82,2025-07-04,C0003,Centro,Efectivo,Cerveza 355ml,Bebidas,3,22.16,66.48
83,2025-07-04,C0037,Norte,Tarjeta,Detergente,Limpieza,1,52.65,52.65
83,2025-07-04,C0037,Norte,Tarjeta,Papel higiénico (4u),Limpieza,1,33.56,33.56
84,2025-07-04,C0006,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,3,35.68,107.04
84,2025-07-04,C0006,Del Valle,Efectivo,Pan de dulce,Panadería,3,9.7,29.1
85,2025-07-04,C0076,Del Valle,Efectivo,Agua 1L,Bebidas,2,12.05,24.1
85,2025-07-04,C0076,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,2,36.52,73.04
85,2025-07-04,C0076,Del Valle,Efectivo,Agua 1L,Bebidas,2,12.15,24.3
86,2025-07-04,C0050,Centro,Tarjeta,Detergente,Limpieza,2,53.15,106.3
86,2025-07-04,C0050,Centro,Tarjeta,Detergente,Limpieza,2,52.7,105.4
86,2025-07-04,C0050,Centro,Tarjeta,Detergente,Limpieza,1,55.51,55.51
86,2025-07-04,C0050,Centro,Tarjeta,Agua 1L,Bebidas,3,11.98,35.94
87,2025-07-05,C0132,Norte,Efectivo,Agua 1L,Bebidas,1,11.8,11.8
87,2025-07-05,C0132,Norte,Efectivo,Detergente,Limpieza,2,54.96,109.92
88,2025-07-05,C0030,Centro,Efectivo,Detergente,Limpieza,1,53.21,53.21
89,2025-07-05,C0103,Norte,Efectivo,Detergente,Limpieza,1,55.08,55.08
89,2025-07-05,C0103,Norte,Efectivo,Detergente,Limpieza,1,54.66,54.66
89,2025-07-05,C0103,Norte,Efectivo,Detergente,Limpieza,2,54.43,108.86
89,2025-07-05,C0103,Norte,Efectivo,Detergente,Limpieza,2,55.54,111.08
90,2025-07-05,C0070,Del Valle,Efectivo,Pan de dulce,Panadería,2,10.22,20.44
90,2025-07-05,C0070,Del Valle,Efectivo,Detergente,Limpieza,2,53.24,106.48
90,2025-07-05,C0070,Del Valle,Efectivo,Detergente,Limpieza,3,57.59,172.77
90,2025-07-05,C0070,Del Valle,Efectivo,Detergente,Limpieza,2,54.52,109.04
90,2025-07-05,C0070,Del Valle,Efectivo,Chicharrón,Botanas,2,19.98,39.96
91,2025-07-05,C0007,Centro,Tarjeta,Detergente,Limpieza,1,52.77,52.77
92,2025-07-05,C0029,Del Valle,Efectivo,Refresco 600ml,Bebidas,2,13.63,27.26
92,2025-07-05,C0029,Del Valle,Efectivo,Detergente,Limpieza,2,52.65,105.3
92,2025-07-05,C0029,Del Valle,Efectivo,Detergente,Limpieza,1,54.07,54.07
92,2025-07-05,C0029,Del Valle,Efectivo,Detergente,Limpieza,2,54.1,108.2
92,2025-07-05,C0029,Del Valle,Efectivo,Pan de dulce,Panadería,1,9.65,9.65
93,2025-07-05,C0019,Norte,Tarjeta,Detergente,Limpieza,3,56.55,169.65
93,2025-07-05,C0019,Norte,Tarjeta,Detergente,Limpieza,3,57.03,171.09
93,2025-07-05,C0019,Norte,Tarjeta,Aceite 1L,Abarrotes,2,36.53,73.06
93,2025-07-05,C0019,Norte,Tarjeta,Detergente,Limpieza,1,57.68,57.68
94,2025-07-05,C0040,Del Valle,Efectivo,Detergente,Limpieza,2,55.04,110.08
94,2025-07-05,C0040,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,1,35.66,35.66
94,2025-07-05,C0040,Del Valle,Efectivo,Queso 250g,Lácteos,3,44.91,134.73
95,2025-07-05,C0001,Del Valle,Tarjeta,Detergente,Limpieza,3,53.65,160.95
